ph,ec,orp,turbidite,debi,delta_basinc,sinif
9.14,4.25,315.0,1.0,3.01,0.459,kimyasal
6.7,1.45,11.0,0.1,2.74,0.297,biyolojik
6.5,1.17,294.0,5.1,1.72,0.205,biyolojik
5.38,0.54,116.0,30.0,2.63,0.392,biyolojik
8.45,3.24,376.0,10.4,2.63,0.242,kimyasal
7.97,1.26,379.0,35.7,1.56,0.443,fiziksel
6.37,1.19,206.0,21.9,2.47,0.263,biyolojik
5.78,1.29,336.0,25.8,1.68,0.943,fiziksel
8.3,3.21,238.0,2.1,2.61,0.185,kimyasal
7.49,0.94,231.0,26.4,1.47,0.216,fiziksel
6.97,2.07,101.0,17.1,3.36,0.217,biyolojik
5.1,0.98,141.0,10.8,2.74,0.457,biyolojik
6.49,0.99,305.0,39.1,1.13,0.572,fiziksel
6.58,0.95,383.0,0.0,1.95,0.724,fiziksel
8.44,2.12,332.0,3.8,2.3,0.562,kimyasal
7.73,1.0,361.0,23.7,0.93,0.719,fiziksel
7.08,2.23,182.0,7.5,2.75,0.291,biyolojik
6.93,1.21,233.0,40.1,2.72,0.532,fiziksel
8.14,2.69,397.0,0.0,1.71,0.278,kimyasal
6.71,1.41,275.0,25.8,2.51,0.539,biyolojik
8.99,2.81,155.0,4.0,2.47,0.133,kimyasal
6.81,1.49,387.0,3.5,4.08,0.127,normal
6.65,1.43,402.0,60.0,1.15,0.502,fiziksel
6.08,1.78,203.0,16.7,2.39,0.217,biyolojik
8.12,2.85,322.0,1.0,2.99,0.227,kimyasal
5.92,1.9,198.0,21.2,2.68,0.198,biyolojik
6.15,0.51,364.0,20.3,1.74,0.363,fiziksel
7.21,1.75,290.0,21.0,1.18,0.13,fiziksel
6.95,0.72,292.0,19.4,1.18,0.687,fiziksel
5.58,1.53,129.0,34.6,2.67,0.481,biyolojik
7.78,2.35,430.0,11.6,3.49,0.542,kimyasal
6.79,1.13,410.0,41.5,2.12,0.562,fiziksel
6.78,1.63,-2.0,33.2,2.22,0.27,biyolojik
6.74,1.3,-34.0,22.1,2.69,0.1,biyolojik
6.94,0.96,351.0,45.9,1.28,0.558,fiziksel
7.6,0.86,337.0,8.7,0.2,0.232,fiziksel
7.53,0.3,227.0,28.5,2.14,0.576,fiziksel
7.06,1.9,76.0,22.5,3.24,0.275,biyolojik
8.37,3.41,239.0,4.0,1.5,0.451,kimyasal
6.61,1.27,299.0,9.3,4.0,0.176,normal
6.45,1.62,315.0,22.8,3.45,0.424,biyolojik
8.76,2.13,201.0,14.0,2.69,0.651,kimyasal
7.53,0.97,200.0,40.6,2.84,0.212,fiziksel
6.79,0.92,370.0,34.3,0.2,0.6,fiziksel
7.7,1.44,311.0,8.3,1.66,0.408,fiziksel
7.68,1.12,500.0,27.7,1.64,0.766,fiziksel
6.96,0.96,367.0,3.3,4.16,0.086,normal
5.47,0.4,153.0,9.7,3.51,0.351,biyolojik
8.2,2.36,145.0,6.6,2.38,0.315,biyolojik
7.67,1.93,286.0,8.9,1.28,0.508,kimyasal
5.84,0.84,155.0,16.9,4.54,0.47,biyolojik
6.12,1.95,243.0,16.3,2.58,0.637,biyolojik
8.64,4.15,368.0,0.0,2.04,0.168,kimyasal
6.05,0.86,462.0,2.4,4.44,0.137,normal
8.6,2.3,364.0,5.6,2.01,0.347,kimyasal
8.17,2.7,243.0,15.9,1.81,0.45,kimyasal
7.97,1.72,387.0,3.9,2.52,0.382,kimyasal
6.6,2.08,173.0,16.2,3.9,0.426,biyolojik
8.33,0.72,287.0,1.8,4.01,0.115,normal
5.2,1.45,390.0,16.2,2.58,0.436,biyolojik
7.15,1.11,354.0,2.4,4.02,0.074,normal
6.15,1.11,148.0,21.0,3.13,0.129,biyolojik
7.64,0.88,464.0,60.0,2.26,0.746,fiziksel
6.45,1.31,467.0,34.8,1.08,0.493,fiziksel
6.55,1.06,194.0,29.2,3.58,0.344,biyolojik
6.29,1.59,374.0,19.8,2.09,0.602,fiziksel
7.5,2.31,169.0,29.5,3.02,0.357,biyolojik
6.53,1.48,165.0,1.8,2.35,0.436,biyolojik
7.28,0.77,398.0,8.4,2.12,0.507,fiziksel
6.97,0.95,305.0,28.6,0.53,0.405,fiziksel
8.32,2.97,364.0,10.9,2.96,0.438,kimyasal
6.79,0.85,351.0,24.2,1.13,0.348,fiziksel
6.52,2.32,183.0,22.4,2.87,0.261,biyolojik
7.09,1.5,135.0,13.5,2.7,0.469,biyolojik
6.88,0.79,336.0,0.7,4.88,0.11,normal
8.03,1.2,249.0,23.9,2.22,0.729,fiziksel
4.57,1.38,152.0,12.2,2.12,0.264,biyolojik
7.37,2.35,153.0,19.9,3.91,0.076,biyolojik
7.44,0.87,368.0,55.7,2.01,0.879,fiziksel
7.73,1.11,339.0,17.6,2.28,0.411,fiziksel
8.29,3.26,334.0,16.3,1.82,0.207,kimyasal
6.74,1.4,246.0,22.8,2.53,0.404,biyolojik
8.13,2.86,295.0,7.8,2.95,0.363,kimyasal
6.95,1.81,341.0,28.1,2.51,0.546,fiziksel
6.63,1.86,114.0,46.5,3.84,0.282,biyolojik
6.57,0.89,149.0,10.7,2.59,0.507,biyolojik
8.55,3.2,318.0,2.6,3.58,0.244,kimyasal
7.29,1.7,376.0,3.2,3.56,0.094,normal
6.54,0.86,114.0,35.8,3.5,0.568,biyolojik
7.67,2.87,300.0,7.2,2.01,0.545,kimyasal
6.46,1.72,173.0,20.7,2.99,0.431,biyolojik
8.68,1.96,237.0,10.6,2.41,0.336,kimyasal
7.58,1.8,274.0,9.1,1.92,0.328,biyolojik
6.44,1.47,219.0,0.0,2.15,0.119,biyolojik
8.84,3.48,265.0,12.3,2.49,0.634,kimyasal
5.93,1.63,113.0,3.1,2.89,0.494,biyolojik
6.65,1.42,318.0,21.2,0.2,0.574,fiziksel
7.56,1.21,500.0,49.5,1.98,0.592,fiziksel
7.4,2.17,230.0,8.0,2.43,0.528,kimyasal
5.65,2.05,107.0,6.8,3.37,0.428,biyolojik
6.46,1.6,217.0,17.8,3.15,0.348,biyolojik
7.15,0.97,291.0,45.2,2.06,0.568,fiziksel
6.51,0.46,416.0,6.1,3.8,0.12,normal
7.06,0.72,352.0,60.0,2.64,0.506,fiziksel
5.14,0.73,158.0,8.5,3.19,0.362,biyolojik
5.24,1.2,188.0,23.6,2.58,0.375,biyolojik
6.4,1.16,389.0,31.1,2.81,0.305,fiziksel
6.12,1.12,270.0,3.1,4.2,0.182,normal
6.64,0.94,263.0,34.2,2.03,0.645,fiziksel
7.91,1.65,247.0,0.0,2.37,0.315,kimyasal
6.74,1.15,225.0,8.8,3.54,0.13,biyolojik
9.04,3.3,291.0,12.0,3.21,0.154,kimyasal
6.93,0.9,164.0,2.7,3.61,0.163,normal
7.91,0.94,345.0,37.7,2.7,0.763,fiziksel
6.2,2.13,226.0,18.3,2.41,0.252,biyolojik
7.7,1.34,278.0,16.5,1.73,0.322,fiziksel
6.17,0.49,147.0,25.1,4.21,0.512,biyolojik
6.14,1.68,177.0,22.6,3.66,0.27,biyolojik
6.88,1.54,207.0,26.9,4.36,0.422,biyolojik
5.27,1.45,222.0,23.3,3.23,0.295,biyolojik
5.87,1.48,306.0,30.0,2.62,0.66,fiziksel
6.9,1.86,121.0,29.4,3.1,0.107,biyolojik
